LANGUAGE,Support Donald Trump,Support Hilary Clinton,Age_Category,Sex,Education_Category,Education_Category2,Hispanic,Combining_Race,Race_Ethinicity,Marital_status,Religion,Party,Income,Income_Recode,Ideology,Insurance_Status,Internet_frequency,Social_media_user
English,0,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Atheist (do not believe in God),Democrat,"$150,000 or more","$75,000+",Very liberal,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,30-49,Female,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Married,Protestant,Republican,"30 to under $40,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Atheist (do not believe in God),Republican,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Female,Some college,Associate? degree,No,White,White non-Hispanic,Widowed,Protestant,Republican,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Independent,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Jewish,Republican,"$150,000 or more","$75,000+",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Roman Catholic,Independent,"100 to under $150,000 [OR]","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Female,College graduate+,College graduate/some postgrad,No,Asian or Asian-American,Other,Never been married,Roman Catholic,Independent,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,No,30-49,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Living with a partner,Protestant,Democrat,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Democrat,"75 to under $100,000","$75,000+",Liberal,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Divorced,Protestant,Republican,"30 to under $40,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Living with a partner,Protestant,Democrat,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,No,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"$150,000 or more","$75,000+",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Independent,"50 to under $75,000","$30-$74,999",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,Some college,Associate? degree,No,White,White non-Hispanic,Widowed,Roman Catholic,Independent,"20 to under $30,000","<$30,000",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Widowed,Protestant,Democrat,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Female,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Married,Jewish,Democrat,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Independent,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Mormon,Democrat,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Jewish,Democrat,"$150,000 or more","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Independent,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,50-64,Female,Some college,Associate? degree,No,White,White non-Hispanic,Married,Roman Catholic,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Roman Catholic,Republican,"50 to under $75,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Roman Catholic,Independent,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,30-49,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Widowed,Jewish,Democrat,"$150,000 or more","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Independent,"$150,000 or more","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,18-29,Female,Some college,"Some college, no degree",No,Black or African-American,Black non-Hispanic,Never been married,Protestant,Independent,"10 to under $20,000","<$30,000",Moderate,Not covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Democrat,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Divorced,Agnostic (not sure if there is a God),Independent,"30 to under $40,000","$30-$74,999",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,99,50-64,Male,Some college,"Some college, no degree",No,White,White non-Hispanic,Living with a partner,Protestant,Republican,"50 to under $75,000","$30-$74,999",Moderate,Covered by health insurance,At least once a week but not every day,Social Media Users
English,1,No,65+,Male,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Widowed,Protestant,Republican,"10 to under $20,000","<$30,000",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Divorced,Protestant,Republican,"Less than $10,000","<$30,000",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,College graduate+,Postgraduate,No,Black or African-American,Black non-Hispanic,Married,Protestant,Democrat,"$150,000 or more","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,No,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Republican,"75 to under $100,000","$75,000+",Very conservative,Covered by health insurance,Every day,Social Media Users
English,0,No,30-49,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Divorced,Protestant,Independent,"30 to under $40,000","$30-$74,999",Liberal,Covered by health insurance,At least once a week but not every day,Social Media Users
English,1,No,50-64,Male,H.S. graduate or less,High school graduate,Yes,White,Hispanic,Married,Roman Catholic,Republican,"$150,000 or more","$75,000+",Conservative,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,30-49,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Divorced,Protestant,Democrat,"30 to under $40,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Independent,"$150,000 or more","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Jewish,Democrat,"100 to under $150,000 [OR]","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,No,65+,Male,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Protestant,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Roman Catholic,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Divorced,Protestant,Democrat,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,No,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Widowed,Protestant,Independent,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,No,30-49,Female,College graduate+,College graduate/some postgrad,Yes,Or some other race,Hispanic,Married,Protestant,Republican,"40 to under $50,000","$30-$74,999",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Orthodox,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Atheist (do not believe in God),Independent,"50 to under $75,000","$30-$74,999",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Roman Catholic,Independent,"$150,000 or more","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,Some college,Associate? degree,No,White,White non-Hispanic,Married,Protestant,Independent,"$150,000 or more","$75,000+",Very conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Independent,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,No,50-64,Female,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Living with a partner,Roman Catholic,Independent,"30 to under $40,000","$30-$74,999",Moderate,Not covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Male,College graduate+,Postgraduate,No,Mixed Race,Other,Married,Protestant,Republican,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,30-49,Female,College graduate+,College graduate/some postgrad,No,Asian or Asian-American,Other,Married,Atheist (do not believe in God),Democrat,"100 to under $150,000 [OR]","$75,000+",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Mormon,Republican,"75 to under $100,000","$75,000+",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Protestant,Independent,"50 to under $75,000","$30-$74,999",Very conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Roman Catholic,Democrat,"20 to under $30,000","<$30,000",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,30-49,Male,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Married,Protestant,Democrat,"Less than $10,000","<$30,000",Moderate,Covered by health insurance,At least once a week but not every day,Social Media Users
English,0,No,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Divorced,Protestant,Democrat,"20 to under $30,000","<$30,000",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Democrat,"75 to under $100,000","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,(VOL) Unitarian (Universalist),Democrat,"$150,000 or more","$75,000+",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"75 to under $100,000","$75,000+",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Widowed,Roman Catholic,Democrat,"20 to under $30,000","<$30,000",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Roman Catholic,Independent,"$150,000 or more","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Divorced,Jewish,Democrat,"30 to under $40,000","$30-$74,999",Very liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Roman Catholic,Independent,"50 to under $75,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,H.S. graduate or less,Less than high school,No,White,White non-Hispanic,Married,Roman Catholic,Democrat,"20 to under $30,000","<$30,000",Moderate,Covered by health insurance,Never,Social Media Users
English,1,Yes,50-64,Male,College graduate+,Postgraduate,No,Black or African-American,Black non-Hispanic,Married,Protestant,Independent,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,30-49,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Divorced,Jewish,Independent,"30 to under $40,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Democrat,"100 to under $150,000 [OR]","$75,000+",Very liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Divorced,Jewish,Independent,"100 to under $150,000 [OR]","$75,000+",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Protestant,Republican,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Male,College graduate+,Postgraduate,No,Black or African-American,Black non-Hispanic,Divorced,Protestant,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"20 to under $30,000","<$30,000",Conservative,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Widowed,Protestant,Republican,"50 to under $75,000","$30-$74,999",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Independent,"50 to under $75,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Widowed,Protestant,Democrat,"30 to under $40,000","$30-$74,999",Moderate,Covered by health insurance,At least once a week but not every day,Not Social Media Users
English,0,Yes,50-64,Female,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Divorced,Agnostic (not sure if there is a God),Democrat,"Less than $10,000","<$30,000",Moderate,Covered by health insurance,Never,Social Media Users
English,1,No,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Independent,"50 to under $75,000","$30-$74,999",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Independent,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Democrat,"30 to under $40,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,(VOL) Christian,Independent,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Roman Catholic,Democrat,"20 to under $30,000","<$30,000",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,No,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,No,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Roman Catholic,Republican,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Divorced,Protestant,Democrat,"50 to under $75,000","$30-$74,999",Very liberal,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,30-49,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Roman Catholic,Independent,"100 to under $150,000 [OR]","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Never been married,Agnostic (not sure if there is a God),Independent,"40 to under $50,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,No,50-64,Male,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Divorced,Protestant,Republican,"10 to under $20,000","<$30,000",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Roman Catholic,Democrat,"40 to under $50,000","$30-$74,999",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Separated,Atheist (do not believe in God),Democrat,"20 to under $30,000","<$30,000",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,Some college,Associate? degree,No,White,White non-Hispanic,Married,Protestant,Republican,"40 to under $50,000","$30-$74,999",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,30-49,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Divorced,Protestant,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Not covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Widowed,Roman Catholic,Democrat,"40 to under $50,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Protestant,Independent,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Male,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Protestant,Independent,"50 to under $75,000","$30-$74,999",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Divorced,Orthodox,Democrat,"40 to under $50,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,No,50-64,Female,Some college,Associate? degree,No,White,White non-Hispanic,Married,Protestant,Republican,"$150,000 or more","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,H.S. graduate or less,High school graduate,Yes,White,Hispanic,Married,Roman Catholic,Republican,"30 to under $40,000","$30-$74,999",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,Some college,"Some college, no degree",No,Black or African-American,Black non-Hispanic,Widowed,Protestant,Democrat,"20 to under $30,000","<$30,000",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"30 to under $40,000","$30-$74,999",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,No,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Never been married,Protestant,Republican,"10 to under $20,000","<$30,000",Very conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Roman Catholic,Democrat,"100 to under $150,000 [OR]","$75,000+",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Widowed,Roman Catholic,Independent,"50 to under $75,000","$30-$74,999",Very conservative,Covered by health insurance,Once a month,Not Social Media Users
English,1,Yes,50-64,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Divorced,Roman Catholic,Republican,"10 to under $20,000","<$30,000",Moderate,Covered by health insurance,Never,Social Media Users
English,1,Yes,65+,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Democrat,"100 to under $150,000 [OR]","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Male,H.S. graduate or less,Less than high school,No,White,White non-Hispanic,Widowed,Protestant,Democrat,"30 to under $40,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Female,College graduate+,College graduate/some postgrad,Yes,White,Hispanic,Married,Roman Catholic,Democrat,"75 to under $100,000","$75,000+",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,99,65+,Female,Some college,"Some college, no degree",No,Black or African-American,Black non-Hispanic,Married,Protestant,Democrat,"50 to under $75,000","$30-$74,999",Moderate,Covered by health insurance,Never,Not Social Media Users
English,0,Yes,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Democrat,"50 to under $75,000","$30-$74,999",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,30-49,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Democrat,"100 to under $150,000 [OR]","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,Some college,"Some college, no degree",No,White,White non-Hispanic,Living with a partner,Atheist (do not believe in God),Democrat,"100 to under $150,000 [OR]","$75,000+",Very liberal,Covered by health insurance,Every day,Social Media Users
English,1,Yes,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Independent,"$150,000 or more","$75,000+",Moderate,Covered by health insurance,Every day,Not Social Media Users
English,1,No,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Independent,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,30-49,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Agnostic (not sure if there is a God),Independent,"100 to under $150,000 [OR]","$75,000+",Liberal,Covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Male,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Divorced,Atheist (do not believe in God),Independent,"10 to under $20,000","<$30,000",Moderate,Covered by health insurance,Once a week,Social Media Users
English,1,No,50-64,Female,College graduate+,Postgraduate,No,White,White non-Hispanic,Married,Protestant,Republican,"75 to under $100,000","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Divorced,Roman Catholic,Democrat,"20 to under $30,000","<$30,000",Moderate,Covered by health insurance,At least once a week but not every day,Social Media Users
English,1,No,65+,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Independent,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,1,Yes,65+,Male,Some college,Associate? degree,No,White,White non-Hispanic,Married,Protestant,Independent,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Not Social Media Users
English,1,No,50-64,Female,Some college,"Some college, no degree",No,White,White non-Hispanic,Married,Protestant,Independent,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,Yes,65+,Male,Some college,Associate? degree,No,Black or African-American,Black non-Hispanic,Married,Protestant,Democrat,"20 to under $30,000","<$30,000",Moderate,Covered by health insurance,At least once a week but not every day,Not Social Media Users
English,1,No,65+,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Widowed,Protestant,Republican,"50 to under $75,000","$30-$74,999",Very conservative,Covered by health insurance,Every day,Social Media Users
English,0,No,50-64,Male,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,Married,Protestant,Republican,"100 to under $150,000 [OR]","$75,000+",Conservative,Covered by health insurance,Every day,Social Media Users
English,0,No,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Republican,"40 to under $50,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
English,0,Yes,50-64,Male,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Living with a partner,Jewish,Democrat,"50 to under $75,000","$30-$74,999",Very liberal,Covered by health insurance,Every day,Not Social Media Users
English,1,Yes,50-64,Female,College graduate+,College graduate/some postgrad,No,White,White non-Hispanic,Married,Protestant,Independent,"50 to under $75,000","$30-$74,999",Moderate,Covered by health insurance,Every day,Social Media Users
